datetime,open,high,low,close,slow,fast,Volume,Volume MA
2023-06-25T18:00:00-04:00,15057.75,15066.75,15054.5,15055,NaN,NaN,434,NaN
2023-06-25T18:01:00-04:00,15054.75,15059.75,15054.25,15059.75,NaN,NaN,177,NaN
2023-06-25T18:02:00-04:00,15058,15062.25,15058,15061.25,NaN,NaN,84,NaN
2023-06-25T18:03:00-04:00,15062,15065,15060.25,15060.75,NaN,NaN,116,NaN
2023-06-25T18:04:00-04:00,15060.25,15062.5,15060,15061.25,NaN,NaN,50,NaN
2023-06-25T18:05:00-04:00,15061.25,15067,15061,15066.25,NaN,NaN,58,NaN
2023-06-25T18:06:00-04:00,15065.25,15070,15065,15068.75,NaN,NaN,129,NaN
2023-06-25T18:07:00-04:00,15069,15072.75,15068.5,15072.5,NaN,NaN,215,NaN
2023-06-25T18:08:00-04:00,15072.75,15073,15069,15071.25,NaN,NaN,137,NaN
2023-06-25T18:09:00-04:00,15071,15071,15068,15068.75,NaN,NaN,64,NaN
2023-06-25T18:10:00-04:00,15068.5,15071,15068.5,15069.25,NaN,15072.225,59,NaN
2023-06-25T18:11:00-04:00,15070.25,15075.75,15069,15075,NaN,15072.41019,234,NaN
2023-06-25T18:12:00-04:00,15074.5,15074.5,15070.75,15071.75,NaN,15072.72778,184,NaN
2023-06-25T18:13:00-04:00,15071.75,15072,15068.75,15070.25,NaN,15072.5463,49,NaN
2023-06-25T18:14:00-04:00,15070.75,15080.5,15070.5,15079.5,NaN,15074.48056,369,NaN
2023-06-25T18:15:00-04:00,15080.5,15081.75,15079,15080,NaN,15077.37778,64,NaN
2023-06-25T18:16:00-04:00,15080,15080.5,15079,15079.25,NaN,15080.09815,34,NaN
2023-06-25T18:17:00-04:00,15080,15083.5,15079.25,15082.5,NaN,15082.47593,139,NaN
2023-06-25T18:18:00-04:00,15082.25,15083,15080.5,15080.5,15081.10423,15083.1537,90,NaN
2023-06-25T18:19:00-04:00,15080.25,15080.5,15078.75,15080.25,15082.10031,15082.7537,49,136.75
2023-06-25T18:20:00-04:00,15079.75,15082.25,15079.25,15081,15082.79512,15082.07963,59,118
2023-06-25T18:21:00-04:00,15081,15082.5,15080.75,15082,15083.26417,15081.79722,65,112.4
2023-06-25T18:22:00-04:00,15082.25,15085,15081.5,15083.75,15083.69749,15082.43889,81,112.25
2023-06-25T18:23:00-04:00,15084,15084.25,15083,15084,15084.12494,15083.5037,27,107.8
2023-06-25T18:24:00-04:00,15083.5,15084,15083,15084,15084.48689,15084.40648,16,106.1
2023-06-25T18:25:00-04:00,15083.75,15087.5,15081.5,15085.5,15084.93023,15085.2537,182,112.3
2023-06-25T18:26:00-04:00,15086,15086,15082.75,15084.75,15085.3222,15085.61667,144,113.05
2023-06-25T18:27:00-04:00,15085,15086,15084,15084.5,15085.5963,15085.55741,30,103.8
